event,url,error
VCT 2026: China Stage 1,https://www.vlr.gg/642929/xi-lai-gaming-vs-nova-esports-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642930/edward-gaming-vs-trace-esports-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642931/jdg-esports-vs-all-gamers-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642932/dragon-ranger-gaming-vs-wolves-esports-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642933/nova-esports-vs-trace-esports-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642934/funplus-phoenix-vs-bilibili-gaming-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642935/all-gamers-vs-tyloo-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642936/edward-gaming-vs-dragon-ranger-gaming-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642937/jdg-esports-vs-titan-esports-club-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642938/xi-lai-gaming-vs-wolves-esports-vct-2026-china-stage-1-w2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642939/tyloo-vs-jdg-esports-vct-2026-china-stage-1-w3,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642940/trace-esports-vs-dragon-ranger-gaming-vct-2026-china-stage-1-w3,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642941/titan-esports-club-vs-funplus-phoenix-vct-2026-china-stage-1-w3,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642942/all-gamers-vs-bilibili-gaming-vct-2026-china-stage-1-w3,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642943/nova-esports-vs-wolves-esports-vct-2026-china-stage-1-w3,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642944/edward-gaming-vs-xi-lai-gaming-vct-2026-china-stage-1-w3,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642947/tyloo-vs-dragon-ranger-gaming-vct-2026-china-stage-1-seeding,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642946/jdg-esports-vs-edward-gaming-vct-2026-china-stage-1-seeding,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/642948/titan-esports-club-vs-trace-esports-vct-2026-china-stage-1-seeding,"could not convert string to float: '2,353'"
VCT 2026: China Stage 1,https://www.vlr.gg/642945/all-gamers-vs-xi-lai-gaming-vct-2026-china-stage-1-seeding,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659474/xi-lai-gaming-vs-titan-esports-club-vct-2026-china-stage-1-ubqf,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659475/jdg-esports-vs-tyloo-vct-2026-china-stage-1-ubqf,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659476/all-gamers-vs-trace-esports-vct-2026-china-stage-1-ubqf,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659477/edward-gaming-vs-dragon-ranger-gaming-vct-2026-china-stage-1-ubqf,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659482/titan-esports-club-vs-tyloo-vct-2026-china-stage-1-lr1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659483/trace-esports-vs-dragon-ranger-gaming-vct-2026-china-stage-1-lr1,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659478/xi-lai-gaming-vs-jdg-esports-vct-2026-china-stage-1-ubsf,"could not convert string to float: '1,082'"
VCT 2026: China Stage 1,https://www.vlr.gg/659479/all-gamers-vs-edward-gaming-vct-2026-china-stage-1-ubsf,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659485/jdg-esports-vs-dragon-ranger-gaming-vct-2026-china-stage-1-lr2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659484/all-gamers-vs-tyloo-vct-2026-china-stage-1-lr2,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659480/xi-lai-gaming-vs-edward-gaming-vct-2026-china-stage-1-ubf,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659486/all-gamers-vs-dragon-ranger-gaming-vct-2026-china-stage-1-lr3,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659487/xi-lai-gaming-vs-dragon-ranger-gaming-vct-2026-china-stage-1-lbf,list index out of range
VCT 2026: China Stage 1,https://www.vlr.gg/659481/edward-gaming-vs-xi-lai-gaming-vct-2026-china-stage-1-gf,list index out of range
